Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_036785775.1	Primary Assembly	11e	12316547	36.5	CM072047.1	Chromosome			assembled-molecule	34054519			chr_K_sg_E
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000023.1	Chromosome			unplaced-scaffold	189388			Scaffold_6
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000024.1	Chromosome			unplaced-scaffold	136241			Scaffold_10
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000025.1	Chromosome			unplaced-scaffold	99557			Scaffold_13
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000026.1	Chromosome			unplaced-scaffold	92229			Scaffold_14
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000027.1	Chromosome			unplaced-scaffold	103385			Scaffold_20
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000028.1	Chromosome			unplaced-scaffold	97846			Scaffold_21
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000029.1	Chromosome			unplaced-scaffold	238497			Scaffold_22
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000030.1	Chromosome			unplaced-scaffold	227313			Scaffold_23
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000031.1	Chromosome			unplaced-scaffold	1480318			Scaffold_26
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000032.1	Chromosome			unplaced-scaffold	72373			Scaffold_27
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000033.1	Chromosome			unplaced-scaffold	171770			Scaffold_29
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000034.1	Chromosome			unplaced-scaffold	87217			Scaffold_32
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000035.1	Chromosome			unplaced-scaffold	462026			Scaffold_33
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000036.1	Chromosome			unplaced-scaffold	3317			Scaffold_36
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000037.1	Chromosome			unplaced-scaffold	518			Scaffold_37
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000038.1	Chromosome			unplaced-scaffold	10457			Scaffold_38
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000039.1	Chromosome			unplaced-scaffold	16238			Scaffold_39
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000040.1	Chromosome			unplaced-scaffold	10514			Scaffold_40
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000041.1	Chromosome			unplaced-scaffold	2989			Scaffold_41
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000042.1	Chromosome			unplaced-scaffold	9032			Scaffold_42
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000043.1	Chromosome			unplaced-scaffold	11893			Scaffold_43
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000044.1	Chromosome			unplaced-scaffold	10036			Scaffold_44
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000045.1	Chromosome			unplaced-scaffold	3550			Scaffold_45
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000046.1	Chromosome			unplaced-scaffold	31911			Scaffold_46
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000047.1	Chromosome			unplaced-scaffold	4837			Scaffold_47
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000048.1	Chromosome			unplaced-scaffold	3795			Scaffold_48
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000049.1	Chromosome			unplaced-scaffold	2828			Scaffold_49
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000050.1	Chromosome			unplaced-scaffold	1943			Scaffold_50
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000051.1	Chromosome			unplaced-scaffold	3098			Scaffold_51
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000052.1	Chromosome			unplaced-scaffold	9545			Scaffold_52
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000053.1	Chromosome			unplaced-scaffold	18836			Scaffold_53
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000054.1	Chromosome			unplaced-scaffold	517			Scaffold_54
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000055.1	Chromosome			unplaced-scaffold	10827			Scaffold_55
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000056.1	Chromosome			unplaced-scaffold	2041			Scaffold_56
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000057.1	Chromosome			unplaced-scaffold	5811			Scaffold_57
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000058.1	Chromosome			unplaced-scaffold	4815			Scaffold_58
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000059.1	Chromosome			unplaced-scaffold	5646			Scaffold_59
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000060.1	Chromosome			unplaced-scaffold	3469			Scaffold_60
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000061.1	Chromosome			unplaced-scaffold	9479			Scaffold_61
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000062.1	Chromosome			unplaced-scaffold	17640			Scaffold_62
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000063.1	Chromosome			unplaced-scaffold	1377			Scaffold_63
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000064.1	Chromosome			unplaced-scaffold	7265			Scaffold_64
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000065.1	Chromosome			unplaced-scaffold	39792			Scaffold_65
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000066.1	Chromosome			unplaced-scaffold	6103			Scaffold_66
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000067.1	Chromosome			unplaced-scaffold	5629			Scaffold_67
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000068.1	Chromosome			unplaced-scaffold	2554			Scaffold_68
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000069.1	Chromosome			unplaced-scaffold	13431			Scaffold_69
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000070.1	Chromosome			unplaced-scaffold	9605			Scaffold_70
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000071.1	Chromosome			unplaced-scaffold	9591			Scaffold_71
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000072.1	Chromosome			unplaced-scaffold	24278			Scaffold_72
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000073.1	Chromosome			unplaced-scaffold	9625			Scaffold_73
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000074.1	Chromosome			unplaced-scaffold	18754			Scaffold_74
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000075.1	Chromosome			unplaced-scaffold	10542			Scaffold_75
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000076.1	Chromosome			unplaced-scaffold	7096			Scaffold_76
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000077.1	Chromosome			unplaced-scaffold	1208			Scaffold_77
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000078.1	Chromosome			unplaced-scaffold	10106			Scaffold_78
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000079.1	Chromosome			unplaced-scaffold	4792			Scaffold_79
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000080.1	Chromosome			unplaced-scaffold	8147			Scaffold_80
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000081.1	Chromosome			unplaced-scaffold	11929			Scaffold_81
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000082.1	Chromosome			unplaced-scaffold	2486			Scaffold_82
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000083.1	Chromosome			unplaced-scaffold	10663			Scaffold_83
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000084.1	Chromosome			unplaced-scaffold	2450			Scaffold_84
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000085.1	Chromosome			unplaced-scaffold	2921			Scaffold_85
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000086.1	Chromosome			unplaced-scaffold	12527			Scaffold_86
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000087.1	Chromosome			unplaced-scaffold	2083			Scaffold_87
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000088.1	Chromosome			unplaced-scaffold	9949			Scaffold_88
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000089.1	Chromosome			unplaced-scaffold	14940			Scaffold_89
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000090.1	Chromosome			unplaced-scaffold	11333			Scaffold_90
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000091.1	Chromosome			unplaced-scaffold	7317			Scaffold_91
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000092.1	Chromosome			unplaced-scaffold	3785			Scaffold_92
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000093.1	Chromosome			unplaced-scaffold	11677			Scaffold_93
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000094.1	Chromosome			unplaced-scaffold	13406			Scaffold_94
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000095.1	Chromosome			unplaced-scaffold	4344			Scaffold_95
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000096.1	Chromosome			unplaced-scaffold	2037			Scaffold_96
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000097.1	Chromosome			unplaced-scaffold	16459			Scaffold_97
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000098.1	Chromosome			unplaced-scaffold	838			Scaffold_98
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000099.1	Chromosome			unplaced-scaffold	4122			Scaffold_99
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000100.1	Chromosome			unplaced-scaffold	5450			Scaffold_100
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000101.1	Chromosome			unplaced-scaffold	29510			Scaffold_101
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000102.1	Chromosome			unplaced-scaffold	8234			Scaffold_102
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000103.1	Chromosome			unplaced-scaffold	4564			Scaffold_103
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000104.1	Chromosome			unplaced-scaffold	3353			Scaffold_104
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000105.1	Chromosome			unplaced-scaffold	12758			Scaffold_105
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000106.1	Chromosome			unplaced-scaffold	5243			Scaffold_106
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000107.1	Chromosome			unplaced-scaffold	13820			Scaffold_107
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000108.1	Chromosome			unplaced-scaffold	38537			Scaffold_108
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000109.1	Chromosome			unplaced-scaffold	28795			Scaffold_109
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000110.1	Chromosome			unplaced-scaffold	5230			Scaffold_110
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000111.1	Chromosome			unplaced-scaffold	5489			Scaffold_111
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000112.1	Chromosome			unplaced-scaffold	1145			Scaffold_112
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000113.1	Chromosome			unplaced-scaffold	4877			Scaffold_113
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000114.1	Chromosome			unplaced-scaffold	5352			Scaffold_114
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000115.1	Chromosome			unplaced-scaffold	7958			Scaffold_115
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000116.1	Chromosome			unplaced-scaffold	12928			Scaffold_116
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000117.1	Chromosome			unplaced-scaffold	5221			Scaffold_117
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000118.1	Chromosome			unplaced-scaffold	2302			Scaffold_118
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000119.1	Chromosome			unplaced-scaffold	9131			Scaffold_119
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000120.1	Chromosome			unplaced-scaffold	10093			Scaffold_120
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000121.1	Chromosome			unplaced-scaffold	2818			Scaffold_121
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000122.1	Chromosome			unplaced-scaffold	5993			Scaffold_122
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000123.1	Chromosome			unplaced-scaffold	8556			Scaffold_123
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000124.1	Chromosome			unplaced-scaffold	765			Scaffold_124
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000125.1	Chromosome			unplaced-scaffold	24342			Scaffold_125
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000126.1	Chromosome			unplaced-scaffold	1264			Scaffold_126
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000127.1	Chromosome			unplaced-scaffold	3142			Scaffold_127
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000128.1	Chromosome			unplaced-scaffold	861			Scaffold_128
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000129.1	Chromosome			unplaced-scaffold	15386			Scaffold_129
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000130.1	Chromosome			unplaced-scaffold	3207			Scaffold_130
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000131.1	Chromosome			unplaced-scaffold	11490			Scaffold_131
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000132.1	Chromosome			unplaced-scaffold	7858			Scaffold_132
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000133.1	Chromosome			unplaced-scaffold	5135			Scaffold_133
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000134.1	Chromosome			unplaced-scaffold	8639			Scaffold_134
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000135.1	Chromosome			unplaced-scaffold	19063			Scaffold_135
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000136.1	Chromosome			unplaced-scaffold	9382			Scaffold_136
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000137.1	Chromosome			unplaced-scaffold	10138			Scaffold_137
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000138.1	Chromosome			unplaced-scaffold	11350			Scaffold_138
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000139.1	Chromosome			unplaced-scaffold	4206			Scaffold_139
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000140.1	Chromosome			unplaced-scaffold	35074			Scaffold_140
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000141.1	Chromosome			unplaced-scaffold	16042			Scaffold_141
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000142.1	Chromosome			unplaced-scaffold	9563			Scaffold_142
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000143.1	Chromosome			unplaced-scaffold	16244			Scaffold_143
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000144.1	Chromosome			unplaced-scaffold	46144			Scaffold_144
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000145.1	Chromosome			unplaced-scaffold	20237			Scaffold_145
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000146.1	Chromosome			unplaced-scaffold	16322			Scaffold_146
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000147.1	Chromosome			unplaced-scaffold	18869			Scaffold_147
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000148.1	Chromosome			unplaced-scaffold	18845			Scaffold_148
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000149.1	Chromosome			unplaced-scaffold	14236			Scaffold_149
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000150.1	Chromosome			unplaced-scaffold	16196			Scaffold_150
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000151.1	Chromosome			unplaced-scaffold	12708			Scaffold_151
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000152.1	Chromosome			unplaced-scaffold	7911			Scaffold_152
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000153.1	Chromosome			unplaced-scaffold	3918			Scaffold_153
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000154.1	Chromosome			unplaced-scaffold	5838			Scaffold_154
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000155.1	Chromosome			unplaced-scaffold	23817			Scaffold_155
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000156.1	Chromosome			unplaced-scaffold	6710			Scaffold_156
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000157.1	Chromosome			unplaced-scaffold	6889			Scaffold_157
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000158.1	Chromosome			unplaced-scaffold	9173			Scaffold_158
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000159.1	Chromosome			unplaced-scaffold	13250			Scaffold_159
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000160.1	Chromosome			unplaced-scaffold	10607			Scaffold_160
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000161.1	Chromosome			unplaced-scaffold	13671			Scaffold_161
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000162.1	Chromosome			unplaced-scaffold	16169			Scaffold_162
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000163.1	Chromosome			unplaced-scaffold	6088			Scaffold_163
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000164.1	Chromosome			unplaced-scaffold	7353			Scaffold_164
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000165.1	Chromosome			unplaced-scaffold	14850			Scaffold_165
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000166.1	Chromosome			unplaced-scaffold	30220			Scaffold_166
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000167.1	Chromosome			unplaced-scaffold	5155			Scaffold_167
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000168.1	Chromosome			unplaced-scaffold	14773			Scaffold_168
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000169.1	Chromosome			unplaced-scaffold	16195			Scaffold_169
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000170.1	Chromosome			unplaced-scaffold	9293			Scaffold_170
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000171.1	Chromosome			unplaced-scaffold	16133			Scaffold_171
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000172.1	Chromosome			unplaced-scaffold	12571			Scaffold_172
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000173.1	Chromosome			unplaced-scaffold	24932			Scaffold_173
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000174.1	Chromosome			unplaced-scaffold	32815			Scaffold_174
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000175.1	Chromosome			unplaced-scaffold	22166			Scaffold_175
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000176.1	Chromosome			unplaced-scaffold	17095			Scaffold_176
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000177.1	Chromosome			unplaced-scaffold	20302			Scaffold_177
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000178.1	Chromosome			unplaced-scaffold	17258			Scaffold_178
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000179.1	Chromosome			unplaced-scaffold	16525			Scaffold_179
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000180.1	Chromosome			unplaced-scaffold	16935			Scaffold_180
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000181.1	Chromosome			unplaced-scaffold	6954			Scaffold_181
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000182.1	Chromosome			unplaced-scaffold	14574			Scaffold_182
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000183.1	Chromosome			unplaced-scaffold	10484			Scaffold_183
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000184.1	Chromosome			unplaced-scaffold	16759			Scaffold_184
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000185.1	Chromosome			unplaced-scaffold	22582			Scaffold_185
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000186.1	Chromosome			unplaced-scaffold	12486			Scaffold_186
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000187.1	Chromosome			unplaced-scaffold	8737			Scaffold_187
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000188.1	Chromosome			unplaced-scaffold	4044			Scaffold_188
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000189.1	Chromosome			unplaced-scaffold	12956			Scaffold_189
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000190.1	Chromosome			unplaced-scaffold	16775			Scaffold_190
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000191.1	Chromosome			unplaced-scaffold	36497			Scaffold_191
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000192.1	Chromosome			unplaced-scaffold	18226			Scaffold_192
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000193.1	Chromosome			unplaced-scaffold	10027			Scaffold_193
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000194.1	Chromosome			unplaced-scaffold	6486			Scaffold_194
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000195.1	Chromosome			unplaced-scaffold	42216			Scaffold_195
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000196.1	Chromosome			unplaced-scaffold	12271			Scaffold_196
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000197.1	Chromosome			unplaced-scaffold	4251			Scaffold_197
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000198.1	Chromosome			unplaced-scaffold	3471			Scaffold_198
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000199.1	Chromosome			unplaced-scaffold	16315			Scaffold_199
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000200.1	Chromosome			unplaced-scaffold	5346			Scaffold_200
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000201.1	Chromosome			unplaced-scaffold	11941			Scaffold_201
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000202.1	Chromosome			unplaced-scaffold	6079			Scaffold_202
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000203.1	Chromosome			unplaced-scaffold	8720			Scaffold_203
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000204.1	Chromosome			unplaced-scaffold	2108			Scaffold_204
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000205.1	Chromosome			unplaced-scaffold	6451			Scaffold_205
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000206.1	Chromosome			unplaced-scaffold	2148			Scaffold_206
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000207.1	Chromosome			unplaced-scaffold	4022			Scaffold_207
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000208.1	Chromosome			unplaced-scaffold	11351			Scaffold_208
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000209.1	Chromosome			unplaced-scaffold	34500			Scaffold_209
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000210.1	Chromosome			unplaced-scaffold	11660			Scaffold_210
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000211.1	Chromosome			unplaced-scaffold	9876			Scaffold_211
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000212.1	Chromosome			unplaced-scaffold	26704			Scaffold_212
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000213.1	Chromosome			unplaced-scaffold	1820			Scaffold_213
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000214.1	Chromosome			unplaced-scaffold	17497			Scaffold_214
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000215.1	Chromosome			unplaced-scaffold	5914			Scaffold_215
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000216.1	Chromosome			unplaced-scaffold	20968			Scaffold_216
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000217.1	Chromosome			unplaced-scaffold	16924			Scaffold_217
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000218.1	Chromosome			unplaced-scaffold	5108			Scaffold_218
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000219.1	Chromosome			unplaced-scaffold	29844			Scaffold_219
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000220.1	Chromosome			unplaced-scaffold	12183			Scaffold_220
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000221.1	Chromosome			unplaced-scaffold	10354			Scaffold_221
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000222.1	Chromosome			unplaced-scaffold	10845			Scaffold_222
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000223.1	Chromosome			unplaced-scaffold	11491			Scaffold_223
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000224.1	Chromosome			unplaced-scaffold	17091			Scaffold_224
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000225.1	Chromosome			unplaced-scaffold	17104			Scaffold_225
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000226.1	Chromosome			unplaced-scaffold	19552			Scaffold_226
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000227.1	Chromosome			unplaced-scaffold	18239			Scaffold_227
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000228.1	Chromosome			unplaced-scaffold	33720			Scaffold_228
GCA_036785775.1	Primary Assembly	Un			JAZHSI010000229.1	Chromosome			unplaced-scaffold	18257			Scaffold_229
